Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Thermostat Air Temperature [C](Hourly),DistrictHeating:Facility [J](Hourly) 
 01/05  13:00:00,1.8125,20.,2575184.03131056 
 01/05  14:00:00,1.9375,20.,1457330.95374919 
 01/05  15:00:00,1.9625,20.,911487.948888692 
 01/05  16:00:00,1.8125,20.,1155347.57122427 
 01/05  17:00:00,1.7625,20.,1718947.2895124 
 01/05  18:00:00,1.925,20.,2155134.47602866 
 01/05  19:00:00,2.125,20.0000000000001,1794184.21509015 
 01/05  20:00:00,2.3875,20.,2038492.72660999 
 01/05  21:00:00,2.3125,20.,1562963.66154889 
 01/05  22:00:00,2.3875,20.,1518296.96845175 
 01/05  23:00:00,2.1875,20.,1490288.89463098 
 01/05  24:00:00,2.125,20.,1492092.33827951 
 01/06  01:00:00,2.2625,20.,1462933.312557 
 01/06  02:00:00,2.925,20.0000000000001,1311103.66437807 
 01/06  03:00:00,3.8,20.0000000000001,1786857.93596859 
 01/06  04:00:00,4.0375,20.0000000000002,2435263.45702553 
 01/06  05:00:00,4.,20.0000000000002,2507731.26396621 
 01/06  06:00:00,3.8125,20.0000000000002,2590405.56454673 
 01/06  07:00:00,3.45,20.0000000000002,2994337.33338427 
 01/06  08:00:00,3.425,20.0000000000001,3395323.29860087 
 01/06  09:00:00,3.5,20.,2878327.72476467 
 01/06  10:00:00,3.6875,20.,2570106.11131143 
 01/06  11:00:00,3.9875,20.,2285911.6177317 
 01/06  12:00:00,4.4125,20.,1982114.65364684 
 01/06  13:00:00,4.6625,20.,2316599.10042737 
 01/06  14:00:00,4.95,20.,1792341.45093797 
 01/06  15:00:00,5.2875,20.,1255064.58185982 
 01/06  16:00:00,4.9625,20.,2022092.53368883 
 01/06  17:00:00,4.95,20.,1920968.62590499 
 01/06  18:00:00,5.0375,20.,1672341.67055312 
 01/06  19:00:00,5.0625,20.,1589784.61528323 
 01/06  20:00:00,4.975,20.,1106348.85875068 
 01/06  21:00:00,4.9625,20.,921648.371160321 
 01/06  22:00:00,5.0625,20.,883045.559541191 
 01/06  23:00:00,5.0375,20.0000000000001,967402.665437105 
 01/06  24:00:00,4.9375,20.,939178.186534191 
 01/07  01:00:00,4.8375,20.0000000000001,869794.47363229 
 01/07  02:00:00,4.8,20.,884908.781591207 
 01/07  03:00:00,4.8,20.,1392080.48364042 
 01/07  04:00:00,4.675,20.0000000000001,2296465.52616429 
 01/07  05:00:00,4.5375,20.0000000000001,2369422.91774723 
 01/07  06:00:00,4.5,20.0000000000001,2395134.39110261 
 01/07  07:00:00,4.5,20.,2847943.12455762 
 01/07  08:00:00,4.4375,19.9999999999999,3278691.2434071 
 01/07  09:00:00,4.4625,20.,2953570.93957009 
 01/07  10:00:00,4.0625,20.,2742339.36509205 
 01/07  11:00:00,3.55,20.,2580439.60251793 
 01/07  12:00:00,3.15,20.,2727513.18589542 
 01/07  13:00:00,3.,20.,3255521.43885675 
 01/07  14:00:00,2.875,20.,1980044.7355624 
 01/07  15:00:00,3.2375,20.,1219165.94288955 
 01/07  16:00:00,4.125,19.9999999999999,1121140.52811896 
 01/07  17:00:00,4.5625,19.9999999999999,998780.139779844 
 01/07  18:00:00,3.975,19.9999999999999,1326230.49587062 
 01/07  19:00:00,3.2875,19.9999999999998,1945708.57410011 
 01/07  20:00:00,2.85,20.,2094270.96346656 
 01/07  21:00:00,2.2,20.,1602565.8257632 
 01/07  22:00:00,2.025,20.,1387624.53553486 
 01/07  23:00:00,2.1625,19.9999999999999,1387283.66058714 
 01/07  24:00:00,2.7,20.,1345071.23382211 
 01/08  01:00:00,3.,20.,1400216.11367614 
 01/08  02:00:00,2.4375,20.,1365745.21555356 
 01/08  03:00:00,2.6,20.,1925656.9958965 
 01/08  04:00:00,2.9,20.,2577681.1556695 
 01/08  05:00:00,2.9625,20.0000000000001,2730559.10407437 
 01/08  06:00:00,3.,20.0000000000002,2722872.59284337 
 01/08  07:00:00,2.6875,20.0000000000001,3101370.21513676 
 01/08  08:00:00,2.1875,19.9999999999999,3506516.50148551 
 01/08  09:00:00,1.3125,19.9999999999999,3507776.63781335 
 01/08  10:00:00,1.5875,20.0000000000001,3509751.73230169 
 01/08  11:00:00,2.,20.,3357951.61463887 
 01/08  12:00:00,2.,20.,3201360.94849384 
 01/08  13:00:00,2.25,20.,2655005.80522005 
 01/08  14:00:00,2.2125,20.,1141254.56210384 
 01/08  15:00:00,2.225,20.,1001302.06892482 
 01/08  16:00:00,2.925,20.,1205021.84767606 
 01/08  17:00:00,3.175,20.,1407014.81255246 
 01/08  18:00:00,2.9125,20.,1839200.55160103 
 01/08  19:00:00,2.6125,20.,1916675.0888933 
 01/08  20:00:00,2.25,20.,1306290.29552329 
 01/08  21:00:00,1.6625,20.,1342866.28953639 
 01/08  22:00:00,1.3375,20.,1412205.58152485 
 01/08  23:00:00,1.175,20.,1454951.3746724 
 01/08  24:00:00,0.975,20.,1483853.56088283 
 01/09  01:00:00,0.9625,20.,1509910.74626889 
 01/09  02:00:00,0.875,20.,1699196.86088746 
 01/09  03:00:00,0.55,20.,1568761.1964984 
 01/09  04:00:00,0.2125,20.,2805534.46476301 
 01/09  05:00:00,-2.500000000000000E-02,20.,3107856.77331101 
 01/09  06:00:00,-0.1625,20.,3167380.41747302 
 01/09  07:00:00,-7.500000000000000E-02,19.9999999999999,3192278.0401947 
 01/09  08:00:00,0.3125,20.,2834031.98911055 
 01/09  09:00:00,0.6875,20.,2383881.69390058 
 01/09  10:00:00,0.8625,19.9999999999999,2252423.11136813 
 01/09  11:00:00,0.7125,20.,2453650.43618067 
 01/09  12:00:00,0.6,20.,3096537.50252029 
 01/09  13:00:00,0.5375,20.,3291251.54688786 
 01/09  14:00:00,0.1875,20.,2800951.71354155 
 01/09  15:00:00,6.250000000000000E-02,20.,2252318.16453653 
 01/09  16:00:00,3.750000000000000E-02,20.,2717863.46545401 
 01/09  17:00:00,-6.250000000000000E-02,20.,3441515.30260309 
 01/09  18:00:00,-0.1,20.0000000000001,2885501.99868326 
 01/09  19:00:00,-0.2875,20.0000000000002,2533873.57307832 
 01/09  20:00:00,-0.525,20.0000000000001,2883315.48849033 
 01/09  21:00:00,-0.6625,20.0000000000001,2961553.75714355 
 01/09  22:00:00,-0.7625,20.0000000000001,2454585.59633503 
 01/09  23:00:00,-0.925,20.,1916610.27548585 
 01/09  24:00:00,-1.125,20.,2078731.48675465 
 01/10  01:00:00,-1.3875,20.,2305942.23671272 
 01/10  02:00:00,-1.5625,19.9999999999999,1979441.7395741 
 01/10  03:00:00,-1.725,19.9999999999999,3035985.5492605 
 01/10  04:00:00,-1.8,20.,3495672.01141185 
 01/10  05:00:00,-1.8,20.0000000000001,3534734.61185478 
 01/10  06:00:00,-1.925,20.0000000000001,3554524.78353204 
 01/10  07:00:00,-2.4375,20.0000000000001,3609936.17217176 
 01/10  08:00:00,-2.5125,20.0000000000002,3688310.70970793 
 01/10  09:00:00,-2.2125,20.0000000000001,3678664.98074926 
 01/10  10:00:00,-1.7875,20.,2784312.50991375 
 01/10  11:00:00,-1.4125,20.0000000000001,2080980.04751907 
 01/10  12:00:00,-0.2375,20.0000000000001,1027379.8315735 
 01/10  13:00:00,0.65,20.,1359233.83352294 
 01/10  14:00:00,1.1125,20.,1058847.60455798 
 01/10  15:00:00,1.3,20.0233152520501,875613.265604645 
 01/10  16:00:00,0.925,20.0004221167711,1279899.55257517 
 01/10  17:00:00,0.825,20.000000000144,3067406.72291988 
 01/10  18:00:00,0.9,20.0000000000001,2326653.11938202 
 01/10  19:00:00,0.7125,20.,2330306.76777704 
 01/10  20:00:00,0.9125,20.,2371262.72296399 
 01/10  21:00:00,1.6625,20.,2946161.91913654 
 01/10  22:00:00,1.9375,20.0000000000002,3113874.40905919 
 01/10  23:00:00,1.9625,20.0000000000001,2358282.76871305 
 01/10  24:00:00,2.0625,20.,3003121.36254735 
 01/11  01:00:00,2.2875,20.,1594801.16895691 
 01/11  02:00:00,2.525,20.0000000000001,1468637.01549077 
 01/11  03:00:00,2.7875,20.,1403460.43224477 
 01/11  04:00:00,2.9625,20.,2022593.91324982 
 01/11  05:00:00,3.125,20.0000000000002,2752668.98013278 
 01/11  06:00:00,3.2625,20.0000000000001,2772487.15896624 
 01/11  07:00:00,3.3625,20.0000000000001,2760707.27473633 
 01/11  08:00:00,3.5875,20.,2725987.9170012 
 01/11  09:00:00,3.8875,20.,2665969.11083562 
 01/11  10:00:00,4.1875,19.9999999999999,2579748.40739546 
 01/11  11:00:00,4.4875,19.9999999999999,3151217.3838547 
 01/11  12:00:00,4.7875,20.,3069131.32849004 
 01/11  13:00:00,5.0875,20.,2982818.66130773 
 01/11  14:00:00,5.3875,20.,2600590.42165982 
 01/11  15:00:00,5.5625,20.,1885044.22081754 
 01/11  16:00:00,5.6625,20.,1689064.31359601 
 01/11  17:00:00,5.825,20.0000000000001,1528009.56402959 
 01/11  18:00:00,5.8375,20.,1511650.04578488 
 01/11  19:00:00,5.8625,20.,1508316.39053896 
 01/11  20:00:00,5.9625,20.,1004090.63535971 
 01/11  21:00:00,6.0625,20.,746961.821347123 
 01/11  22:00:00,6.1625,20.,669956.623836099 
 01/11  23:00:00,5.95,20.,765373.374281802 
 01/11  24:00:00,5.925,20.,762312.858572434 
 01/12  01:00:00,5.875,20.,696059.389778067 
 01/12  02:00:00,5.8625,20.,864214.28542168 
 01/12  03:00:00,6.0875,20.,1383254.68505021 
 01/12  04:00:00,6.0125,20.,2155740.8414881 
 01/12  05:00:00,5.9625,19.9999999999999,2173820.87289859 
 01/12  06:00:00,6.,20.,2142747.3364225 
 01/12  07:00:00,6.,20.,2341422.52905575 
 01/12  08:00:00,6.0625,20.,2497904.39603936 
 01/12  09:00:00,5.9125,20.,2350001.13073486 
 01/12  10:00:00,5.8625,20.,2758704.65100892 
 01/12  11:00:00,6.0875,20.,2549290.33887075 
 01/12  12:00:00,6.325,20.0000000000001,2120404.00287214 
 01/12  13:00:00,6.3375,20.0000000000001,1904826.62200435 
 01/12  14:00:00,6.175,20.,1467247.45001633 
 01/12  15:00:00,4.5375,20.,1917767.25984702 
 01/12  16:00:00,3.5375,20.0000000000001,1479987.00859412 
 01/12  17:00:00,3.375,20.,1042410.14279147 
 01/12  18:00:00,3.3625,20.,1424139.28673878 
 01/12  19:00:00,3.15,20.,1854182.34987264 
 01/12  20:00:00,2.9375,20.,1462079.08445491 
 01/12  21:00:00,2.775,20.,1317605.57451967 
 01/12  22:00:00,2.2625,20.,1374128.49148597 
 01/12  23:00:00,2.0625,20.,1433890.70301125 
 01/12  24:00:00,1.9125,20.,1458712.55011989 
 01/13  01:00:00,1.7375,20.,1505726.31054972 
 01/13  02:00:00,1.45,20.,1534564.06563719 
 01/13  03:00:00,1.55,20.0000000000001,2055651.08214347 
 01/13  04:00:00,1.6375,20.,2942283.23942028 
 01/13  05:00:00,1.7875,20.,2980100.93898554 
 01/13  06:00:00,2.15,20.,2961248.24313045 
 01/13  07:00:00,2.55,20.,3532981.56589978 
 01/13  08:00:00,2.325,20.0000000000001,3674819.6696513 
 01/13  09:00:00,2.35,20.0000000000001,3191537.4983095 
 01/13  10:00:00,2.5,20.,2857340.87556113 
 01/13  11:00:00,2.9375,20.0000000000001,2948838.22904102 
 01/13  12:00:00,3.325,20.,3328828.72514734 
 01/13  13:00:00,4.9,20.,2853882.17637866 
 01/13  14:00:00,5.55,20.0000000000001,2242284.33188206 
 01/13  15:00:00,6.15,20.,1439108.33883975 
 01/13  16:00:00,6.475,20.0000000000001,1861508.29279427 
 01/13  17:00:00,6.65,20.,1328009.00926359 
 01/13  18:00:00,6.6125,20.,1387355.93848902 
 01/13  19:00:00,6.3125,20.,1465972.73625912 
